"Variable","Mean","Median","SD","Min","Max"
"avganncount",237.862729124236,142,250.559350407231,6,1258
"avgdeathsperyear",94.7075356415479,60,94.6367610853887,3,510
"target_deathrate",180.600692464358,180.9,24.9466396208217,110.4,245.2
"incidencerate",448.891608961303,452.2,46.0630911334617,332,566.3
"medincome",45763.8680244399,44026,11068.3314642406,22640,125635
"popest2015",47052.5152749491,25658,56710.4839956857,827,575205
"povertypercent",17.2426069246436,16.5,6.26926966898295,3.2,47.4
"studypercap",130.58568592807,0,480.891750213008,0,9762.308998
"medianage",45.9469653767821,41.2,47.9157629618564,22.3,624
"medianagemale",39.7005702647658,39.8,5.17295090132884,22.4,64.7
"medianagefemale",42.3044806517312,42.6,5.1954869887291,22.3,65.7
"percentmarried",51.8780855397149,52.6,6.69400469523555,23.1,72.5
"pctnohs18_24",18.4579633401222,17.6,8.02588928816061,0,62.7
"pcths18_24",35.6979226069246,35.7,8.96614522238275,7.1,72.5
"pctbachdeg18_24",5.62826883910387,5,4.04608225808467,0,51.8
"pcths25_over",35.7828513238289,36,6.65023937901334,7.5,54.8
"pctbachdeg25_over",12.5355193482688,11.6,4.85791025637756,2.7,37.8
"pctemployed16_over",53.447250509165,54,7.77431299335955,17.6,76.5
"pctunemployed16_over",7.98061099796334,7.7,3.43704452911975,0.4,29.4
"pctprivatecoverage",63.7175560081466,64.2,10.3934441387845,22.3,92.3
"pctprivatecoveragealone",47.9401629327902,48.7,8.84555335489935,15.7,78.9
"pctempprivcoverage",40.532382892057,40.3,9.20596958181774,13.5,70.7
"pctpubliccoverage",36.7940529531568,37,7.60518185345293,11.8,65.1
"pctpubliccoveragealone",19.5231771894094,19.2,5.92715736802484,2.7,46.6
"pctwhite",84.0343538223014,90.51931497,16.2521238665635,10.1991551,100
"pctblack",9.35290605746884,2.197657587,14.8807139809556,0,85.94779858
"pctasian",0.898623005888391,0.501471211,1.64776626304971,0,35.64018309
"pctotherrace",1.75657312887536,0.749253045,3.27264984124395,0,41.93025142
"pctmarriedhouseholds",51.4429468396212,51.70842825,6.34504055515431,22.99248989,78.07539683
"birthrate",5.61454156416049,5.380501321,1.96450264804212,0,21.32616487
"avghouseholdsize",2.52677393075356,2.5,0.239385461457287,1.86,3.97
"income_category",42757.6358452139,42724,10136.0444405072,22640,61494
