"Variable","Estimate","Std_Error","t_value","p_value","Significant","Lower_CI","Upper_CI"
"(Intercept)",180.670191748983,0.38328099915034,471.377898068242,0,"Yes",179.918436081052,181.421947416914
"incidencerate",12.8472672989936,0.475379897891366,27.0252641223999,5.5587480009604e-134,"Yes",11.9148716585823,13.779662939405
"avgdeathsperyear",74.7935729482199,3.23799790094208,23.0987095224673,8.20616821182578e-103,"Yes",68.4426625712955,81.1444833251443
"avganncount",-85.0948130471807,3.99179293549126,-21.3174416665248,1.71709609516691e-89,"Yes",-92.9241940264485,-77.2654320679129
"income_category",-7.34471651350443,1.20535340092004,-6.09341335735914,1.36610921223816e-09,"Yes",-9.70885993050201,-4.98057309650685
"popest2015",9.41048293979647,1.72090860970623,5.4683223075994,5.22308616247874e-08,"Yes",6.03514525228838,12.7858206273046
"medincome",5.69922338506465,1.22846105155261,4.63931955991736,3.76487938354122e-06,"Yes",3.2897573265218,8.10868944360749
"pctemployed16_over",-3.58548850801038,0.877766649983549,-4.08478552708466,4.61830551552638e-05,"Yes",-5.30711325775985,-1.86386375826092
"pcths25_over",2.79932059876593,0.698209724813396,4.0092833131393,6.35565573152188e-05,"Yes",1.42987332849537,4.16876786903649
"pctotherrace",-1.89617539734595,0.473929470732491,-4.00096536392912,6.58109595844313e-05,"Yes",-2.82572621414221,-0.966624580549699
"pctprivatecoverage",-5.8561178940095,1.61019393935287,-3.63690220841537,0.000284218383564782,"Yes",-9.01430320207339,-2.69793258594562
"pctempprivcoverage",2.91316421618828,1.06718672958679,2.72976053339443,0.00640383800366536,"Yes",0.820016696519775,5.00631173585679
"pctwhite",-2.88241251223998,1.06852987646139,-2.69754976041059,0.00705467293665545,"Yes",-4.97819443924431,-0.786630585235643
"pcths18_24",1.06764854049103,0.479902631535472,2.22471907910785,0.0262317916394498,"Yes",0.12638214817953,2.00891493280253
"pctbachdeg25_over",-1.63748584237847,0.872525981254783,-1.87671871962322,0.0607289354505313,"No",-3.34883170423803,0.0738600194810848
"pctblack",-1.45732679038858,0.917584513044485,-1.58822077930813,0.112423589957204,"No",-3.2570490829521,0.342395502174942
"percentmarried",1.8736984203359,1.41901547824861,1.3204214112227,0.186873256302946,"No",-0.909515281934718,4.65691212260651
"birthrate",-0.541599349557936,0.42323000811394,-1.27968088078511,0.200833140639769,"No",-1.37170978587866,0.288511086762788
"avghouseholdsize",-1.04305979538895,0.859272859149557,-1.21388658361826,0.224960745471897,"No",-2.7284113875548,0.642291796776903
"pctpubliccoverage",-1.9108591253692,1.90929894372772,-1.00081714895753,0.31705857568123,"No",-5.65569987120268,1.83398162046429
"pctprivatecoveragealone",0.772546937582955,0.862176902751483,0.896042256661608,0.370357881066248,"No",-0.918500557177879,2.46359443234379
"pctunemployed16_over",0.571564357256163,0.644605055246274,0.886689225603101,0.375372473605332,"No",-0.692744348191241,1.83587306270357
"povertypercent",-1.03373721144076,1.22152731331029,-0.846266145813285,0.3975241691578,"No",-3.42960364716075,1.36212922427924
"pctpubliccoveragealone",1.50179279702593,1.82342781909914,0.823609676947829,0.410277653432911,"No",-2.07462294262607,5.07820853667793
"medianagemale",-0.879458825866657,1.22490967603135,-0.717978511457318,0.472869831703075,"No",-3.28195932472099,1.52304167298768
"pctmarriedhouseholds",-0.887924954492798,1.40146563209136,-0.633568839763681,0.526448024334412,"No",-3.63671692349388,1.86086701450829
"medianagefemale",-0.83160217531361,1.36053230789835,-0.611232949402142,0.54112762512943,"No",-3.5001087700395,1.83690441941228
"studypercap",0.221187559044318,0.394092668901676,0.561257735803006,0.574696304358548,"No",-0.551773788357821,0.994148906446457
"pctnohs18_24",-0.230852367074014,0.500988792833552,-0.460793475575236,0.645006107392339,"No",-1.21347651337248,0.751771779224452
"medianage",-0.126675123799187,0.390943053258868,-0.324024490890001,0.74595961194713,"No",-0.893458911091292,0.640108663492918
"pctasian",-0.0818032234168248,0.487339634390522,-0.167856701249283,0.866716109924253,"No",-1.03765632642125,0.874049879587603
"pctbachdeg18_24",0.0452896734404893,0.506382245982138,0.0894377198249695,0.928744651297118,"No",-0.947913027451495,1.03849237433247
