"Feature","Importance"
"incidencerate",160119.452759119
"pctbachdeg25_over",110601.464425843
"povertypercent",61563.7792369978
"pctpubliccoveragealone",58431.2701659019
"pcths25_over",57788.9430346563
"medincome",40869.3276510298
"pctunemployed16_over",40172.4504230465
"avgdeathsperyear",37912.809134747
"pctprivatecoverage",36471.7354901187
"pctotherrace",34876.7256383882
"pctemployed16_over",33220.089518673
"pctblack",32002.5928296903
"percentmarried",28584.2536036692
"avganncount",22313.5627920962
"pcths18_24",22160.1549822819
"pctmarriedhouseholds",21739.1380495627
"popest2015",21487.5171205314
"pctpubliccoverage",21397.2631541668
"avghouseholdsize",21384.4214387605
"pctwhite",21129.8542746517
"pctbachdeg18_24",20015.2951390401
"birthrate",19888.0472777528
"pctasian",18891.9961656738
"medianage",18710.8064185207
"medianagefemale",18084.4556018123
"pctnohs18_24",17321.7426081603
"medianagemale",16927.2661865591
"pctempprivcoverage",15550.0505029941
"pctprivatecoveragealone",14430.2739472261
"studypercap",5448.05762934149
